face,leftFish,rightFish,correctResponse,phase_used,round_no
girl,yellow,green,right,2,0
woman,blue,yellow,left,2,1
man,purple,green,left,2,2
boy,purple,green,left,2,3
girl,blue,purple,left,2,4
woman,yellow,blue,right,2,5
boy,green,purple,right,2,6
woman,yellow,green,right,2,7
man,blue,purple,right,2,8
boy,yellow,green,left,2,9
man,purple,green,left,2,10
woman,blue,yellow,left,2,11
boy,blue,yellow,right,2,12
man,blue,yellow,right,2,13
man,yellow,green,left,2,14
boy,green,purple,right,2,15
boy,green,yellow,right,2,16
girl,purple,blue,right,2,17
boy,purple,blue,left,2,18
girl,green,purple,left,2,19
