face,leftFish,rightFish,correctResponse,phase_used,round_no
boy,purple,green,left,1,0
man,green,purple,right,1,1
girl,green,purple,left,1,2
boy,purple,green,left,1,3
boy,purple,green,left,1,4
woman,green,purple,left,1,5
man,green,purple,right,1,6
girl,purple,green,right,1,7
