Left_Stim,Right_Stim,Correct_Response
s1c3,s2c3,left
s2c3,s1c3,right
s10c8,s10c98,right
s10c98,s10c8,left
s8c11,s9c11,right
s9c11,s8c11,left
s24c22,s24c23,right
s24c23,s24c22,left
