text_object,english,spanish
License_And_Terms,"Fish v. 15 software, running on PsychoPy (v.2023.1.2)\n\nThis software is adapted from software which was written by Catherine E. Myers  under funding from the Department of Veterans Affairs, Office of Research and Development. \n\nDesign is adapted from the task originally described in Myers et al. (2003) Journal of Cognitive Neuroscience, 15(2), 185-193.\n\nFish 15 is a neuroscience experiment to test the generalization performance of individuals\n\n   Copyright (C) 2023 Jose Mojica Perez\n\n    This program is free software: you can redistribute it and/or modify\n    it under the terms of the GNU Affero General Public License as\n    published by the Free Software Foundation, either version 3 of the\n    License, or (at your option) any later version.\n\n    This program is distributed in the hope that it will be useful,\n    but WITHOUT ANY WARRANTY; without even the implied warranty of\n    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the\n    GNU Affero General Public License for more details.\n\n    You should have received a copy of the GNU Affero General Public License\n    along with this program.  If not, see <https://www.gnu.org/licenses/>.\n\nPress the space bar to continue.","Fish v. 15 software, corriendo en PsychoPy (v.2023.1.2)\nEste software es una adaptación de software que fue escrito por Catherine E. Myers bajo financiamiento del Departamento de Asuntos Veteranos, Oficina de Investigación y Desarrollo. \n\nEl diseño una adaptación de la tarea originalmente descrita en Myers et al. (2003) Journal of Cognitive Neuroscience, 15(2), 185-193.\n\nFish 15 es un experimento de neurociencia para evaluar la capacidad de generalización de individuos\n   Copyright (C) 2023 Jose Mojica Perez\n\n    This program is free software: you can redistribute it and/or modify\n    it under the terms of the GNU Affero General Public License as\n    published by the Free Software Foundation, either version 3 of the\n    License, or (at your option) any later version.\n\n    This program is distributed in the hope that it will be useful,\n    but WITHOUT ANY WARRANTY; without even the implied warranty of\n    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the\n    GNU Affero General Public License for more details.\n\n    You should have received a copy of the GNU Affero General Public License\n    along with this program.  If not, see <https://www.gnu.org/licenses/>.\n\nPresione la barra espaciadora para continuar."
train_instructions_text,"Welcome to the experiment.\n\nYou will see drawings of people who each have some pet fish.\n\nDifferent people have different kinds of fish.\n\nYour job is to learn which kind of fish each person has.\n\nEach time you see a face, press the LEFT or RIGHT key, depending on which fish you think the person has. In the beginning, you will have to guess. The choice you make will be circled and you will be told whether it is correct or incorrect. Try to learn the correct answers, because you will be tested later.\n\nPress the LEFT or RIGHT key to begin.","Bienvenido/a al experimento.\n\nUsted verá dibujos de personas las cuales tienen unos peces mascota.\n\nPersonas distintas tienen distintos tipos de peces.\n\nSu trabajo es aprender cuáles tipos de peces tiene cada persona.\n\nCada vez que vea una cara, presione la tecla IZQUIERDA o DERECHA dependiendo de cuál pez usted piense que tiene la persona. Al principio tendrá que adivinar. La elección que haga será encerrada en un círculo y se le indicará si es correcta o incorrecta. Intente aprenderse las respuestas correctas porque será evaluado después.\n\nPresione la tecla IZQUIERDA o DERECHA para comenzar."
trial_text,"Which fish does this person have?\nUse LEFT or RIGHT key to choose.","¿Cuál pez tiene esta persona?\nUse la tecla IZQUIERDA o DERECHA para elegir."
test_text,"Good!\n\nIn this part of the experiment you will need to remember what you have learned so far.\n\nYou will NOT be shown the correct answers.\n\nAt the end of the experiment the computer will tell you how many you got right.","¡Bien!\n\nEn esta parte del experimento tendrá que recordar lo que ha aprendido hasta ahora.\n\nNO se le mostrará las respuestas correctas.\n\nAl final del experimento la computadora le dirá cuántas respuestas correctas obtuvo."
goodbye_text1,"The end.\n\nYour final point total was:","Fin.\n\nSu puntaje final fue:"
goodbye_text2,"Thanks for participating.\n\nPress the space bar to exit.","Gracias por participar.\n\nPresione la barra espaciadora para salir."
